DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,1999,92.63,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2000,95.81,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2001,97.51,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2002,95.62,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2003,100.27,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2004,101.35,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2005,100.00,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2006,101.50,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2007,99.74,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2008,99.17,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2009,95.39,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2010,96.58,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2011,93.53,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2012,93.38,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2013,92.61,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2014,90.20,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2015,92.55,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2016,94.94,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2017,97.53,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2018,96.87,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2019,96.64,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2020,93.67,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,CZ,2021,100.24,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,1990,104.48,
